company_id,legal_entity,website,city,state,nace_code,nace_label,employees,revenue_eur_m,balance_sheet_eur_m,sme_status,group_check,iso_50001_status,iso_14001_status,emas_status,three_shift_operation,pv_present,public_load_profile_available,public_fossil_heat_signal,refrigeration_or_compressor_signal,batch_or_refrigeration_signal,rectifier_converter_furnace_signal,multi_shift_or_batch_signal,heat_recovery_deployed,energy_management_deployed,flexibility_solution_deployed,thermal_storage_deployed,battery_storage_deployed,power_quality_solution_deployed,industrial_heat_electrification_deployed,public_targets_summary,public_investments_summary,last_verified_date,next_review_date,evidence_confidence,source_urls,review_status,reviewer
P11,B+T Oberflächentechnik GmbH,https://bt-unternehmensgruppe.de/,Hüttenberg,Hesse,25.61,Treatment and coating of metals,165,,,probable,small_group,VALID,VALID,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The company reports implementation of a sustainability strategy; no quantified site target was coded.,Direct ISO 50001 and ISO 14001 certificate valid through 1 March 2029; Galvanik 4.1 research and digital process-data initiatives are publicly documented.,2026-09-13,2027-03-13,A,https://bt-unternehmensgruppe.de/175jahre | https://bt-unternehmensgruppe.de/mitmachworkshop22 | https://bt-unternehmensgruppe.de/assets/bt-unternehmensgruppe.de/downloads/2026_14001-50001-ENGUS-UKAS.pdf,PROVISIONAL,Codex research and consistency QA; independent human review pending
P15,ELOXAL BARZ GmbH & Co KG,https://eloxal-barz.de/,Notzingen,Baden-Württemberg,25.61,Treatment and coating of metals,,,4.097,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,Official evidence documents Farbeloxal and Harteloxal serial production; no energy-technology deployment was inferred.,2026-09-13,2027-03-13,B,https://eloxal-barz.de/ | https://fusionbase.com/de/data/organization/4c73ef37b41ee4186a5fcce34e18f119/eloxal-barz-gmbh-%26-co.-kg,PROVISIONAL,Codex research; Anna review pending
P20,DERIX Glasstudios GmbH & Co. KG,https://www.derix.com/,Taunusstein,Hesse,23.12,Shaping and processing of flat glass,70,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Direct company evidence documents manual hot forming at approximately 800 C alongside specialised glass painting, etching and sandblasting; no site-energy deployment was inferred.",2026-09-13,2027-03-13,B,https://www.derix.com/impressum | https://exportpreis-hessen.de/2019-235/ | https://www.derix.com/heissversformen,PROVISIONAL,Codex research and consistency QA; independent human review pending
P21,Privatbrauerei MORITZ FIEGE GmbH & Co. KG,https://moritzfiege.de/,Bochum,North Rhine-Westphalia,11.05,Manufacture of beer,90,22.5,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,Energy- and water-saving bottle washer integrated into the filling line since 2020; no other deployment was inferred.,2026-09-13,2027-03-13,B,https://moritzfiege.de/ | https://www.efa.nrw/aktuell/details/foerderprogramme-belohnen-unternehmen-die-innovativ-sind-interview-mit-marc-zinkler-braumeister-und-betriebsleiter-der-privatbrauerei-moritz-fiege | https://die-deutsche-wirtschaft.de/unternehmen/privatbrauerei-moritz-fiege-gmbh-co-kg-bochum/,PROVISIONAL,Codex research; Anna review pending
P22,RIEDENBURGER BRAUHAUS Michael Krieger GmbH & Co. KG,https://www.riedenburger.de/,Riedenburg,Bavaria,11.05,Manufacture of beer,40,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,YES,NO,YES,UNKNOWN,YES,UNKNOWN,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,Substitute fossil fuels in process heat and operate the new brewery on renewable electricity.,"New brewery energy system with own PV, heat pumps, waste-heat recovery, vacuum vapour compression and three thermal stores including a 55,000-litre, 5-MWh store.",2026-09-13,2027-03-13,A,https://www.riedenburger.de/about/ | https://www.riedenburger.de/neues/fossilfreie-bierherstellung/ | https://www.regionales-bayern.de/anbieter/riedenburger-brauhaus-michael-krieger-gmbh-co-kg-15003/,PROVISIONAL,Codex research; Anna review pending
P23,FM-Plast GmbH,https://www.fm-plast.de/,Lennestadt,North Rhine-Westphalia,22.29,Manufacture of other plastic products,100,22,,probable,small_group,VALID,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Direct ISO 50001 certificate valid through 21 May 2027; electric injection-moulding machines, closed-loop mould cooling and use of machine waste heat for production and warehouse heating are publicly documented.",2026-09-13,2027-03-13,A,https://www.fm-plast.de/deutsch/impressum | https://www.fm-plast.de/deutsch/environment/ | https://www.fm-plast.de/media/wysiwyg/PDF/50001_de.pdf | https://www.regiomanager.de/ranking/produktion/kunststoffverarbeiter/suedwestfalen/,PROVISIONAL,Codex research and consistency QA; independent human review pending
P24,H&K Müller GmbH & Co. KG,https://www.hk-mueller.de/de/,Engelskirchen,North Rhine-Westphalia,22.29,Manufacture of other plastic products,110,,,probable,independent,VALID,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Single-site injection moulding, toolmaking and decoration; direct ISO 50001 certificate valid through 3 July 2029.",2026-09-13,2027-03-13,A,https://www.hk-mueller.de/de/impressum/ | https://www.hk-mueller.de/de/ | https://www.hk-mueller.de/fileadmin/Dokumente/Zertifikate/50001_deutsch_H_K_Mueller_26.pdf,PROVISIONAL,Codex research; Anna review pending
P25,Scheplast GmbH,https://scheplast.de/,Schwendi,Baden-Württemberg,22.29,Manufacture of other plastic products,50,,,probable,independent,NOT_FOUND_AFTER_CHECK,EXPIRED,NOT_FOUND_AFTER_CHECK,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Direct ISO 14001 certificate expired on 26 February 2024; official sources report 50 employees, injection moulding, direct recycling and 250,700 kWh annual solar generation; no storage deployment was found.",2026-09-13,2027-03-13,B,https://scheplast.de/impressum/ | https://scheplast.de/nachhaltigkeit/ | https://scheplast.de/wp-content/uploads/2021/02/Scheplast-Zertifikat-ISO-14001_2015-g%C3%BCltig-bis-2024.pdf | https://scheplast.de/kunststoffspritzerei/,PROVISIONAL,Codex research and consistency QA; independent human review pending
P26,Barth Galvanik GmbH,https://barth-galvanik.de/,Oberursel,Hesse,25.61,Treatment and coating of metals,140,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Official sources document galvanic coating, zinc-flake coating and heat treatment; no site-energy deployment was inferred from process evidence.",2026-09-13,2027-03-13,B,https://barth-galvanik.de/ | https://www.surface-technology-germany.de/aussteller-produkte/aussteller/surface-technology-germany/barth-galvanik-gmbh/107846,PROVISIONAL,Codex research; Anna review pending
P27,BCE Special Ceramics GmbH,https://www.bce-special-ceramics.com/,Mannheim,Baden-Württemberg,23.44,Manufacture of other technical ceramic products,30,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-energy or decarbonisation target was found in the checked public sources.,"Direct company evidence documents in-house ceramic production, small electrically heated ovens, debinding and sintering; the historical project does not establish current deployment of the researched efficiency technology.",2026-09-13,2027-03-13,B,https://www.bce-special-ceramics.com/company/ | https://www.bce-special-ceramics.com/research-project-enitec/,PROVISIONAL,Codex research and consistency QA; independent human review pending
P28,Berg Brauerei Ulrich Zimmermann GmbH & Co. KG,https://www.bergbier.de/,Ehingen-Berg,Baden-Württemberg,11.05,Manufacture of beer,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.bergbier.de/impressum | https://www.bergbier.de/,PROVISIONAL,Codex research; Anna review pending
P29,Meckatzer Löwenbräu Benedikt Weiß KG,https://www.meckatzer.de/,Heimenkirch,Bavaria,11.05,Manufacture of beer,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,DOCUMENT_FOUND_VALIDITY_UNCLEAR,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The official website presents sustainability and EMAS-related environmental management, but the current registration period remains to be verified directly.",No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.meckatzer.de/impressum/ | https://www.meckatzer.de/,PROVISIONAL,Codex research; Anna review pending
P30,Privat-Brauerei Zötler GmbH,https://www.zoetler.de/,Rettenberg,Bavaria,11.05,Manufacture of beer,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,DOCUMENT_FOUND_VALIDITY_UNCLEAR,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The company states that EMAS is used to manage environmental performance; a current direct register record still requires verification.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.familien-braukunst.de/impressum/ | https://www.zoetler.de/,PROVISIONAL,Codex research; Anna review pending
P31,Brauerei Clemens Härle KG,https://www.haerle.de/,Leutkirch im Allgäu,Baden-Württemberg,11.05,Manufacture of beer,,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Public state and climate-alliance evidence describes climate-neutral brewing and a long-running renewable-energy strategy.,Public evidence describes renewable process-energy measures including biomass heat; no electric industrial-heat deployment is inferred.,2026-09-14,2027-03-14,B,https://www.haerle.de/impressum | https://um.baden-wuerttemberg.de/de/umwelt-natur/umwelt-und-wirtschaft/angebote-fuer-unternehmen/umweltpreis-fuer-unternehmen/umweltpreis-2024/brauerei-clemens-haerle,PROVISIONAL,Codex research; Anna review pending
P32,Kronenbrauerei Otto Haizmann KG,https://hochdorfer.de/,Nagold-Hochdorf,Baden-Württemberg,11.05,Manufacture of beer,,,,probable,unknown,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,C,https://hochdorfer.de/,PROVISIONAL,Codex research; Anna review pending
P33,Gindele GmbH,https://www.gindele.de/,Neuhausen,Baden-Württemberg,22.29,Manufacture of other plastic products,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.gindele.de/ | https://www.neuhausen-enzkreis.de/,PROVISIONAL,Codex research; Anna review pending
P34,KTS Kunststoff Technik Schmölln GmbH,https://www.kts-schmoelln.de/,Schmölln,Thuringia,22.29,Manufacture of other plastic products,,,,probable,unknown,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.kts-schmoelln.de/ | https://web.arbeitsagentur.de/,PROVISIONAL,Codex research; Anna review pending
P35,MACK KUNSTSTOFFTECHNIK GMBH & CO. KG,https://mack-kunststoff.com/,Ulm,Baden-Württemberg,22.29,Manufacture of other plastic products,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://mack-kunststoff.com/impressum/ | https://mack-kunststoff.com/,PROVISIONAL,Codex research; Anna review pending
P36,Kunststofftechnik Borgmann GmbH,https://www.bogm.de/,Bersenbrück,Lower Saxony,22.29,Manufacture of other plastic products,125,,,probable,family_owned,NOT_FOUND_AFTER_CHECK,DOCUMENT_FOUND_VALIDITY_UNCLEAR,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.bogm.de/ | https://web.arbeitsagentur.de/,PROVISIONAL,Codex research; Anna review pending
P37,atka Kunststoffverarbeitung GmbH,https://www.atka.de/,Lohne (Oldenburg),Lower Saxony,22.29,Manufacture of other plastic products,,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No dated site-specific energy or decarbonisation target was found in the checked public sources.,No quantified site-specific energy investment was found in the checked public sources.,2026-09-14,2027-03-14,B,https://www.atka.de/,PROVISIONAL,Codex research; Anna review pending
