company_id,legal_entity,legal_entity_check,group_sme_check,process_check,certificate_check,evidence_traceability_check,qa_result,remaining_limitation,qa_date,qa_reviewer,independent_human_review_status
P57,Stocker Kunststoff GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P58,Dorn Spritzguss GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P59,AK Kunststoffspritzguss GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P60,HARTCHROM Beck GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P61,Galvanik-Horstmann GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P62,Galvanotechnik Kessel GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P63,OTK Oberflächentechnik Kaltenkirchen GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P64,Wieland Metalloberflächentechnik GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P65,Porzellanmanufaktur FÜRSTENBERG GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P66,KPM Königliche Porzellan-Manufaktur Berlin GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P67,DOCERAM GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P68,TechnoKer GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P70,ceram GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_03,PENDING
P71,Flötzinger Brauerei Franz Steegmüller GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P72,Hofbräuhaus Traunstein Josef Sailer GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P73,Brauerei-Gasthof Kundmüller GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P74,Brauerei Gebr. Maisel GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P75,Privatbrauerei J.B. Falter Regen KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P76,Si-Tech Singer GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P77,metak GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P78,Erlemann & Huckenbeck GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P79,Langer GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P80,MKT Metall- und Kunststofftechnik GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P81,Eloxalwerk Ludwigsburg Helmut Zerrer GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P82,Galvanotec-Hagen GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P83,Gerbracht & Mönch Galvanotechnik GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P84,Sauer Oberflächentechnik GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P85,Die Schweizer Galvanotechnic GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P86,GIESS- TECHNISCHE- SONDERKERAMIK GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P87,Ceramany GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P88,Ceramaret Meissen GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P89,TECHNISCHE KERAMIK FRÖMGEN GMBH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P90,InnoKeramik & Technik GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_04,PENDING
P91,Brauerei S. Riegele Inh. Riegele KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P92,Familienbrauerei M. Ketterer GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P93,Brauerei Schimpfle GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P94,Brauerei zum Kuchlbauer GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P95,Winkler-Bräu GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P96,PEKA Spritzguss GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P97,Peltzer & Co. GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P98,Robert Frank GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P99,Kunststofftechnik Breitungen GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P100,Kläger Spritzguss GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P101,Metoba Metalloberflächenbearbeitung GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P102,Rudolf Clauss GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P103,Metallveredelung Gebrüder Wigl GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_OWNERSHIP_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
P104,Holder GmbH Oberflächentechnik,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_LINKED_ENTERPRISE_DETAIL_OPEN,2026-09-14,Codex_batch_05,PENDING
